Transporter,Address,Numbers,Contact Person
CHETAK ROAD CARRIER (DELHI.),"133/28a- juhi rattu purwa transport nagar kanpur , kanpur","Contact No : 9307455162, 9389139652, ,",Contact Person : surendar kumar
KATARIA CARRIER,"133/198- transport nagar- kanpur , kanpur","Contact No : , 5122600480,",Contact Person : mahendra kataria
SYNERGY TRANS SOLUTIONS,"19- gandhi market- 122/235- fazalganj , kanpur","Contact No : 7887028888, , 7887028888",Contact Person : alok singh
A-ONE SONA PACKERS & MOVERS,"kanpur , kanpur","Contact No : 8009001234, 9336819582, ,",Contact Person : sanjay ji
SYNERGY TRANS SOLUTIONS,"19- gandhi market- 122/235- fazalganj , kanpur","Contact No : 7887028888, , 7887028888",Contact Person : alok singh
LUCKNOW KANPUR ROAD CARRIERS (REGD.),"133/54-p- rattu purwa transport nagar kanpur , kanpur","Contact No : 9335750948, 8934808686, 2606656, 3262204,",Contact Person : NULL
KANPUR FARUKHABAD TRANSPORT CARRIER (REGD.),"133-p1/271a- t.p. nagar kanpur , kanpur","Contact No : 9335089788, 9335781235, 2640867,",Contact Person : virender tiwari
LORRY ROAD LINES (REGD.),"b-34- rama devi bypass guruharsh rai school beside , kanpur","Contact No : 9415153766, 9335011374, 0512, 3226080,",Contact Person : md. arif loory
KANPUR AGRA GOODS TRANSPORT CO. (REGD.),"133/234- transport nagar kanpur , kanpur","Contact No : 9838203844, 9838203845, ,",Contact Person : NULL
RAJAWAT MINI TRANSPORT,"near raghubar gass godam patel nagar kanpur , kanpur","Contact No : 7780948312, ,",Contact Person : raghuvir singh
JAGDAMBA ROADLINES PVT LTD,"133p1/108- transport nagar kanpur , kanpur","Contact No : 9389478305, 9389478306, 5122618561,",Contact Person : mr tirpathi
AIRTA LOGISTICS PVT LTD,"133/91- t.p.nagar- kanpur , kanpur","Contact No : 7309038559, 9415051913, 3241562,",Contact Person : mr ashok
NEW GAYA PATNA ROADWAYS (REGD.),"new azad nagar gate bypass road , kanpur","Contact No : 9336115384, 9793705597, 9336115384, 7309225384, 3250379,",Contact Person : machal singh
NEW INDIA EXPRESS TRANSPORT SERVICE (REGD.),"133/113- p. rathu purwa transport nagar kanpur , kanpur","Contact No : 9307688861, 9453020900, 32035841, 26400091,",Contact Person : NULL
HARDOI BANSAL GOODS CARRIER PVT. LTD.,"133/164 transport nagar kanpur , kanpur","Contact No : 8053988833, , 8053988833",Contact Person : mukesh
AGARWAL PACKER & MOVERS PVT.LTD.,"house no.128/317- h-2- opp. vanika prishikasan santhan kidwai nagar kanpur , kanpur","Contact No : 9389499040, 9389494142, 6001500,",Contact Person : vikash verma
KARTAR CARRIER PVT.LTD.,"133/349- transport naga , kanpur","Contact No : 9389035999, 2600551, 2606073,",Contact Person : neer kumar
INDORIA TRANSPORT COMPANY,"133/164 , kanpur","Contact No : 8090222247, ,",Contact Person : k.k.indoria
BANARAS FREIGHT CARRIERS (REGD.),"133/p1/105- transport nagar kanpur , kanpur","Contact No : 9793117171, 9793115151, 9793118181, 2604290, 2607716,",Contact Person : NULL
ASSAM BANGAL ROADWAYS LTD.,"133/p-96- t.p. nagar kanpur , kanpur","Contact No : 9335674527, 9335897423, ,",Contact Person : r.p. singh
LUCKY FORWARDING COMPANY,"128/999-y block-kidwai nagar near naubasta police stun.-by pass road , kanpur","Contact No : 9415126112, 9305456797,",Contact Person : om prakash mishra
PACK-WELL CERATIVE PACKER & MOVERS,"111/640- braham nagar kanpur , kanpur","Contact No : 9415477744, 9935390587, ,",Contact Person : arun singh chandel
RAJAWAT MINI TRANSPORT,"near raghubar gass godam patel nagar kanpur -7 , kanpur","Contact No : 9452353938, , 7780948312",Contact Person : s .s rajawat
SCOOTER INDIA CARGO MOVERS,"1/99 ews panki kanpur , kanpur","Contact No : 9792181825, 8299301890, 8299301890",Contact Person : mr.r.kkushwaha
SYNERGY TRANS SOLUTIONS,"19- gandhi market- 122/235- fazalganj , kanpur","Contact No : 7887028888, , 7887028888",Contact Person : alok singh
NIRVANA PACKERS AND MOVERS,"116-651 ganesh nagar rawatpur , kanpur","Contact No : 9935348828, 8687010002,",Contact Person : vinay kushwaha
SAHARA LOGISTICS,"68-a-k-block sarvoday nagar kanpur , kanpur","Contact No : 8960445533, 9044094905,",Contact Person : imtiyaz ahmad
CALCUTTA EXPRESS ROADLINES PVT. LTD.-,"133/213- transport nagar- kanpur , kanpur","Contact No : 9984972111, 5122646391,",Contact Person : abhishek maheshwari
BINOD GHAZIABAD FREIGHT CARRIERS,"vishayakpur raniya kanpur , kanpur","Contact No : 9559855129, ,",Contact Person : rajkaran rathour
SHIV GOLDEN GOODS TRANSPORT CO.(REGD.),"133/137 d- new banda satna transport nagar , kanpur","Contact No : 9412218744, 9319449256, 9838563286, ,",Contact Person : amit kumar
P. R. TRANSPORT CO,"panki , kanpur","Contact No : 9336118330, 93361119458, 9336118330",Contact Person : prashant johari
NEW MALIK TRANSPORT CO.(REGD.),"241- transport nagar , kanpur","Contact No : 9918800231, 9918800230, 2613000, 2605625,",Contact Person : NULL
SYNERGY TRANS SOLUTIONS,"19- gandhi market- 122/235- fazalganj , kanpur","Contact No : 7887028888, , 7887028888",Contact Person : alok singh
KANPUR PUBLIC GOODS CARRIER.COM,"133/11 o block kidwai nagar kanpur , kanpur","Contact No : 9336817856, 05123296779,",Contact Person : rajnikhant sharma
SHIV GANGA EXPRESS CARGO,"d-9- old goshala- kanpur , kanpur","Contact No : 9935146393, ,",Contact Person : vinod pandey
A.T.L,"b-2431 kanupr awash vikash , kanpur","Contact No : 9696882419, ,",Contact Person : anurag srivastava
JAMMU KASHMIR CARGO CARRIERS (REGD.),"bara bypass road kanpur , kanpur","Contact No : 7860547765, 8287873627, 2640030,",Contact Person : r.n. singh
CALCUTTA PACKERS & MOVERS,"kanpur , kanpur","Contact No : 9336111783, 2234182,",Contact Person : NULL
CHETAK ROADWAYS (INDIA) LTD.,"133/28a- juhi rattu purwa transport nagar kanpur , kanpur","Contact No : 9307455162, 9389139652, ,",Contact Person : surendar kumar
SYNERGY TRANS SOLUTIONS,"19- gandhi market- 122/235- fazalganj , kanpur","Contact No : 7887028888, , 7887028888",Contact Person : alok singh
DELHI GORAKHPUR TRANSPORT SOCIETY MAIN LINE (REGD.),"133/197- transport nagar kanpur , kanpur","Contact No : 9938005241, 9838777654, 2640071, 2600475,",Contact Person : goldy gandhi
VIJAY LAKSHMI TRANSPORT CO.(REGD.),"133- transport kanpur , kanpur","Contact No : 9235614453, 0512, 6554068,",Contact Person : NULL
RAJAWAT MINI TRANSPORT,"near raghubar gass godam patel nagar kanpur -7 , kanpur","Contact No : 9452353938, , 7780948312",Contact Person : s .s rajawat
JAI JWALAJI ROADWAYS(REGD.),"133/248- transport nagar kanpur , kanpur","Contact No : 9335252405, 3243808,",Contact Person : NULL
BABA ROADWAYS,"133/310 p -barely agarwal building- transport nagar- kanpur , kanpur","Contact No : 7007522133, , 7985979801",Contact Person : anant kumar mishra
JUNEJA POULTRY PVT.LTD.,"133/248 laxmi complex transport nagar , kanpur","Contact No : 9415041539, 9415044988, 30169224, 2644107,",Contact Person : sushil kumar juneja
RASNA PACKERS & MOVERS,"402- vahu vihar harjendar nagar kanpur , kanpur","Contact No : 9235898740, 9935249191, ,",Contact Person : NULL
KAPUR DELHI GOODS CARRIERS LTD.,"133/230- transport nagar , kanpur","Contact No : 9336212006, 9307708599, 2611577, 2640668,",Contact Person : NULL
KARNATAKA ROADLINES PVT LTD,"1/7- new azad nagar bypass road kanpur (up) , kanpur","Contact No : 7499211957, 5123294159,",Contact Person : dilip kumar
CHETAK ROAD CARRIER (DELHI.),"133/28a- juhi rattu purwa transport nagar kanpur , kanpur","Contact No : 9307455162, 9389139652, ,",Contact Person : surendar kumar
KATARIA CARRIER,"133/198- transport nagar- kanpur , kanpur","Contact No : , 5122600480,",Contact Person : mahendra kataria
SYNERGY TRANS SOLUTIONS,"19- gandhi market- 122/235- fazalganj , kanpur","Contact No : 7887028888, , 7887028888",Contact Person : alok singh
A-ONE SONA PACKERS & MOVERS,"kanpur , kanpur","Contact No : 8009001234, 9336819582, ,",Contact Person : sanjay ji
SYNERGY TRANS SOLUTIONS,"19- gandhi market- 122/235- fazalganj , kanpur","Contact No : 7887028888, , 7887028888",Contact Person : alok singh
LUCKNOW KANPUR ROAD CARRIERS (REGD.),"133/54-p- rattu purwa transport nagar kanpur , kanpur","Contact No : 9335750948, 8934808686, 2606656, 3262204,",Contact Person : NULL
KANPUR FARUKHABAD TRANSPORT CARRIER (REGD.),"133-p1/271a- t.p. nagar kanpur , kanpur","Contact No : 9335089788, 9335781235, 2640867,",Contact Person : virender tiwari
LORRY ROAD LINES (REGD.),"b-34- rama devi bypass guruharsh rai school beside , kanpur","Contact No : 9415153766, 9335011374, 0512, 3226080,",Contact Person : md. arif loory
KANPUR AGRA GOODS TRANSPORT CO. (REGD.),"133/234- transport nagar kanpur , kanpur","Contact No : 9838203844, 9838203845, ,",Contact Person : NULL
RAJAWAT MINI TRANSPORT,"near raghubar gass godam patel nagar kanpur , kanpur","Contact No : 7780948312, ,",Contact Person : raghuvir singh
JAGDAMBA ROADLINES PVT LTD,"133p1/108- transport nagar kanpur , kanpur","Contact No : 9389478305, 9389478306, 5122618561,",Contact Person : mr tirpathi
